lr: 0.0005
batch_size: 16
opt: Adam
max_sentence_len: -1
end params -----------------------------------------------------------------
acc: 0.6692789968652038
recall: [0.6171875  0.29585799 0.87390029]
precision: [0.46470588 0.68493151 0.75443038]
f1: [0.53020134 0.41322314 0.80978261]
macro_recall: 0.5956485938069375
macro_precision: 0.6346892563163639
macro_f1: 0.5844023638244663
micro_recall: 0.6692789968652038
micro_precision: 0.6692789968652038
micro_f1: 0.6692789968652038
weighted_recall: 0.6692789968652038
weighted_precision: 0.6778942587654884
weighted_f1: 0.6486463199390274
end metrics -----------------------------------------------------------------
0: 2,2.0
1: 0,0.0
2: 2,2.0
3: 2,0.0
4: 2,0.0
5: 0,0.0
6: 0,2.0
7: 0,0.0
8: 0,1.0
9: 2,2.0
10: 2,2.0
11: 2,2.0
12: 2,2.0
13: 2,2.0
14: 2,2.0
15: 2,2.0
16: 0,0.0
17: 2,0.0
18: 2,2.0
19: 2,2.0
20: 0,0.0
21: 2,2.0
22: 0,0.0
23: 2,2.0
24: 2,2.0
25: 0,2.0
26: 2,2.0
27: 0,2.0
28: 0,2.0
29: 2,2.0
30: 2,2.0
31: 2,2.0
32: 0,0.0
33: 2,2.0
34: 2,2.0
35: 2,2.0
36: 0,2.0
37: 2,2.0
38: 2,2.0
39: 2,2.0
40: 0,0.0
41: 2,2.0
42: 2,2.0
43: 0,0.0
44: 0,0.0
45: 2,2.0
46: 2,2.0
47: 2,2.0
48: 2,2.0
49: 2,2.0
50: 2,2.0
51: 2,2.0
52: 2,2.0
53: 2,2.0
54: 0,0.0
55: 2,2.0
56: 2,0.0
57: 2,2.0
58: 2,2.0
59: 2,2.0
60: 2,2.0
61: 1,2.0
62: 1,1.0
63: 2,0.0
64: 1,2.0
65: 2,2.0
66: 2,2.0
67: 2,2.0
68: 2,0.0
69: 2,2.0
70: 2,0.0
71: 2,2.0
72: 2,2.0
73: 2,2.0
74: 1,2.0
75: 1,0.0
76: 2,2.0
77: 0,0.0
78: 2,1.0
79: 2,1.0
80: 2,2.0
81: 2,2.0
82: 2,2.0
83: 2,2.0
84: 2,2.0
85: 2,0.0
86: 0,1.0
87: 0,1.0
88: 0,0.0
89: 2,2.0
90: 2,2.0
91: 2,2.0
92: 2,2.0
93: 2,2.0
94: 2,2.0
95: 2,2.0
96: 2,2.0
97: 2,2.0
98: 2,2.0
99: 2,2.0
100: 0,0.0
101: 0,0.0
102: 2,2.0
103: 2,2.0
104: 2,2.0
105: 2,2.0
106: 0,1.0
107: 2,2.0
108: 2,2.0
109: 2,2.0
110: 2,2.0
111: 2,2.0
112: 0,0.0
113: 2,2.0
114: 0,0.0
115: 2,1.0
116: 2,0.0
117: 2,0.0
118: 2,0.0
119: 2,2.0
120: 2,2.0
121: 0,2.0
122: 0,2.0
123: 2,2.0
124: 0,0.0
125: 2,2.0
126: 2,2.0
127: 2,2.0
128: 2,2.0
129: 2,2.0
130: 2,2.0
131: 0,0.0
132: 2,2.0
133: 2,0.0
134: 2,2.0
135: 2,2.0
136: 2,2.0
137: 2,2.0
138: 2,2.0
139: 1,1.0
140: 1,2.0
141: 2,2.0
142: 2,0.0
143: 2,2.0
144: 0,1.0
145: 0,0.0
146: 0,0.0
147: 2,2.0
148: 2,2.0
149: 1,0.0
150: 2,2.0
151: 2,2.0
152: 0,0.0
153: 0,0.0
154: 2,2.0
155: 2,2.0
156: 2,2.0
157: 2,2.0
158: 1,1.0
159: 1,1.0
160: 1,1.0
161: 1,1.0
162: 1,1.0
163: 2,0.0
164: 2,0.0
165: 2,1.0
166: 2,0.0
167: 2,0.0
168: 2,0.0
169: 2,1.0
170: 1,1.0
171: 2,2.0
172: 0,2.0
173: 2,2.0
174: 2,2.0
175: 2,2.0
176: 2,1.0
177: 2,1.0
178: 2,2.0
179: 2,2.0
180: 2,2.0
181: 1,1.0
182: 2,2.0
183: 2,2.0
184: 2,2.0
185: 2,2.0
186: 0,0.0
187: 2,1.0
188: 2,2.0
189: 2,2.0
190: 2,2.0
191: 2,2.0
192: 2,2.0
193: 2,1.0
194: 2,1.0
195: 2,1.0
196: 2,1.0
197: 0,0.0
198: 2,1.0
199: 2,0.0
200: 0,0.0
201: 0,0.0
202: 0,0.0
203: 0,0.0
204: 0,0.0
205: 2,2.0
206: 2,2.0
207: 2,2.0
208: 2,2.0
209: 2,2.0
210: 0,1.0
211: 2,1.0
212: 2,2.0
213: 2,2.0
214: 2,2.0
215: 2,2.0
216: 2,2.0
217: 2,2.0
218: 2,2.0
219: 1,1.0
220: 1,1.0
221: 0,0.0
222: 2,2.0
223: 2,2.0
224: 2,2.0
225: 2,2.0
226: 2,2.0
227: 2,2.0
228: 2,2.0
229: 2,2.0
230: 2,2.0
231: 2,2.0
232: 2,0.0
233: 0,2.0
234: 0,0.0
235: 0,2.0
236: 2,2.0
237: 2,2.0
238: 2,2.0
239: 2,2.0
240: 2,2.0
241: 2,2.0
242: 2,2.0
243: 2,2.0
244: 2,2.0
245: 0,2.0
246: 1,0.0
247: 1,1.0
248: 1,1.0
249: 1,1.0
250: 1,1.0
251: 1,1.0
252: 1,2.0
253: 2,2.0
254: 2,2.0
255: 2,2.0
256: 1,1.0
257: 1,0.0
258: 2,2.0
259: 2,2.0
260: 2,2.0
261: 2,2.0
262: 2,1.0
263: 2,2.0
264: 2,2.0
265: 0,1.0
266: 0,1.0
267: 0,1.0
268: 2,2.0
269: 0,1.0
270: 0,0.0
271: 2,2.0
272: 2,2.0
273: 2,2.0
274: 2,0.0
275: 2,2.0
276: 0,0.0
277: 0,0.0
278: 2,2.0
279: 0,0.0
280: 2,2.0
281: 2,2.0
282: 2,2.0
283: 2,2.0
284: 2,2.0
285: 2,2.0
286: 2,2.0
287: 2,2.0
288: 2,2.0
289: 0,0.0
290: 0,0.0
291: 0,0.0
292: 2,2.0
293: 2,2.0
294: 2,2.0
295: 2,2.0
296: 2,1.0
297: 2,1.0
298: 1,1.0
299: 1,1.0
300: 2,0.0
301: 0,1.0
302: 0,2.0
303: 2,2.0
304: 2,2.0
305: 2,2.0
306: 0,2.0
307: 0,2.0
308: 0,2.0
309: 0,0.0
310: 2,0.0
311: 2,1.0
312: 2,1.0
313: 2,1.0
314: 2,1.0
315: 0,2.0
316: 0,0.0
317: 2,2.0
318: 2,2.0
319: 2,2.0
320: 2,2.0
321: 2,2.0
322: 2,2.0
323: 2,2.0
